127 2.94947 2.15209 2.35175
128 39.0592 1.05631 2.36872
129 15.4313 1.51031 0.918551
255 26.213 1.67615 2.44315
256 61.1099 0.418421 1.62839
257 59.8883 1.09121 2.43434
383 62.1581 1.49708 2.4554
384 64.2912 0.856367 1.7388
385 40.258 2.02255 2.40526
511 36.5105 1.76952 2.12516
512 41.7606 0.360715 2.62297
513 65.4441 1.75647 2.30615
639 45.5287 1.83915 2.64089
640 47.1524 0.932469 2.63141
641 61.5029 1.66433 2.63627
767 68.0025 1.93836 2.62732
768 60.2198 0.49986 2.61556
769 69.3387 1.88036 2.60926
895 57.8045 1.87947 2.62054
896 61.9797 0.957194 2.61602
897 74.0065 1.96532 2.63148
1023 65.3692 1.29895 2.53287
1024 80.4808 0.323644 2.63571
1025 80.8899 1.11818 2.62481
