127 1.73826 0.479358 3.31718
128 1.42879 0.461339 1.96424
129 1.36746 0.363151 1.67073
255 3.18992 0.538331 3.54553
256 7.27557 0.519488 3.55209
257 4.67654 0.423161 3.53837
383 9.58909 0.352604 3.58695
384 6.11911 0.50438 3.60494
385 4.17283 0.51572 3.58382
511 3.28601 0.433459 3.61723
512 2.65417 0.544732 3.61589
513 3.10889 0.458722 3.60319
639 8.8188 0.459917 3.57675
640 1.5296 0.550934 3.61877
641 0.24649 0.532116 3.6212
767 8.0106 0.410123 2.37433
768 2.85077 0.501808 1.51261
769 4.16834 0.510101 3.6314
895 4.71273 0.444723 3.63102
896 11.2326 0.401237 1.1727
897 8.28471 0.36106 3.55579
1023 6.63653 0.472527 3.57344
1024 1.69926 0.405734 1.26898
1025 8.85946 0.517015 3.5615
